ID,Title,Author,ISBN,"Total Copies","Available Copies","Record Status"
4768,"Textbook of Dendrology","William M. Harlow",9788719942507,9,9,active
4769,"Textbook of Firearms Investigation Identification","Julian S. Hatcher",9789253095582,2,2,active
4770,"Textbook of Medical Physiology","Arthur c. Guyton",9787993642738,7,7,active
4771,"Textbook of Medical-Surgical Nursing","Mary Jo Boyer",9789572381618,2,2,active
4772,"Textbook of Rheumatology","William N. Kelley",9789213511138,1,1,active
4773,"Textbook of Salesmanship","Frederick A Russel",9783010753500,9,9,active
4774,"Textbook on the Philippine Constitution","Hector S. De Lion",9784694841231,1,1,active
4775,"Textnotes to Accompany","Richard T. Schaefer",9782232087387,1,1,active
4776,"Texts and Contexts Writing About Literature with..","Lynn Steven",9787094391375,2,2,active
4777,"That Old Cape Magic","Russo Richard",9788587837929,1,1,active
4778,"That's Why Im Here","Spielman Chris",9783168226086,1,1,active
4779,"The 10% Entrepreneur","McGinnis Patrick J.",9789937151931,4,4,active
4780,"The 1918 Fanny Farmer Cookbook","Farmer Fanny",9787844988381,1,1,active
4781,"The 1985 Rules on Criminal Procedure","Manuel R. Damaran",9783747381137,4,4,active
4782,"The 1998 Bankrupt Yearbook & Almanac","Christopher M. Mehugh",9783704946249,10,10,active
4783,"The 21st Century Intranet","Jennifer Stone Gonzales",9785407700531,2,2,active
4784,"The 26th Man","Fireovid Steve",9785882348112,2,2,active
4785,"The 30 minutes Vegans of The East","Reinfeld Mark",9788082938503,10,10,active
4786,"The 33","Franklin Jonathan",9788477982586,1,1,active
4787,"The 4-Week ultimate Body Detox Plan","Schoffo Michelle",9785371564153,2,2,active
4788,"The 80/20 Principle","Richard Koch",9783307066672,10,10,active
4789,"The ABC of Picture- Taking Case","Artemio I. Panganiban",9786331191617,1,1,active
4790,"The Absolute Differential Calculus","Civita Tullio",9789553093738,4,4,active
4791,"The Absolutely Worst Places To Live In..","Gilmartin Dave",9783403779179,1,1,active
4792,"The Adirondack chair","Mock Daniel",9783793061892,1,1,active
4793,"The Administrative Code of 1987","jose N. Nolledo",9780045820726,5,5,active
4794,"The Adventure of Huckleberry finn","Twain Mark",9786247424687,1,1,active
4795,"The Alibi Man","Tami Hoag",9787325506523,2,2,active
4796,"The American Democracy","Thomas E. Patterson",9789053679128,8,8,active
4797,"The American Health Series Healthy and Happy","Charles C. Winson",9787209578905,1,1,active
4798,"The American Littorial society Handbook…","Bulloch David K.",9783550819964,10,10,active
4799,"The American System of Criminal Justice","Cole George F.",9784456578177,8,8,active
4800,"The American's A History","Winthrop D. Jordan",9784205405150,6,6,active
4801,"The Americanist","Aaron Daniel",9786740920167,2,2,active
4802,"The Amish Nannzy","Clark Mindz Starns",9785993001340,2,2,active
4803,"The Animal Reseach War","Conn Michael",9784058067093,1,1,active
4804,"The Animation Studies Reader","Dobson Nichola",9784465484001,4,4,active
4805,"The ANNALS of the American Academy of Political","Richard D. Lambert",9780400464541,4,4,active
4806,"The Anti- Exual Harassment Act…","Guanzon Ma. Rowena Amelia V.",9787683487526,8,8,active
4807,"The Antiques Clinic","James Fielden",9786048992460,2,2,active
4808,"The Art and Science of Modern Inn keeping","Jerome J. Vallen",9782576013806,2,2,active
4809,"The Art of Argumentation and Debate","Francisco M. Africa",9789511812166,2,2,active
4810,"The Art of Investigation Inetrviewing","Charles L. Yeschke",9782508159596,6,6,active
4811,"The Art of Living Well","Vicente Gullas",9784315071740,1,1,active
4812,"The Art of Nutritional Cooking","Michael Baskette",9786477631039,4,4,active
4813,"The Art of Photography",Unknown,9782319767027,10,10,active
4814,"The Art of Public Speaking","Stephen E. Lucas",9784616844463,2,2,active
4815,"The Art of Self Discovery","Ryan C. Villanueva",9786458924419,8,8,active
4816,"The Art of Speaking","Avelina M. aquino",9788328113725,9,9,active
4817,"The Artful D.O.D.G.E.R.","Losorda Tommy",9784792975913,6,6,active
4818,"The Arts & Science of Cooking in…","Gofflief Adam",9784894009462,2,2,active
4819,"The Arvil Guide to Reasearch Papers Writing","Manlapaz Francisco",9788463924880,2,2,active
4820,"The Autobiography","Barnes John",9788073767648,2,2,active
4821,"The Autobiography","Boothrayd Betty",9783780534255,2,2,active
4822,"The Automotive Drive Trains & Chasis Unit","Felizardo Y. Francisco",9789187162893,4,4,active
4823,"The Aviator","Ernest K. Gann",9784767666099,2,2,active
4824,"The Ayatollah Begs to Differ","Majd Hooman",9789193526429,1,1,active
4825,"The Ballad of Baby Doe","Smith Duane A.",9789931769705,2,2,active
4826,"The Balloon Man","Macleod Charlotte",9786759105630,2,2,active
4827,"The Bar Beverage Book","Chris Thomas",9789670447773,10,10,active
4828,"The Bar Book","Jeffrey Morgenthaler",9784057702506,1,1,active
4829,"The Bar Companion","Syluia Silvestre- Ama",9781554494095,9,9,active
4830,"The Basic of Fingerprint with Laboratory Activities","Veneranda Poschor - Depasyo",9789857525638,9,9,active
4831,"The Basics of Fingerprint","Veneranda Poschor- Depayso",9784484555768,7,7,active
4832,"The basics of Fingerprints","Veneranda P.Depayso",9783354205093,2,2,active
4833,"The Battle of the Labysinth","Riordan Rick",9783072772822,2,2,active
4834,"The BBQ & Compfire Recipe Book","Cox Luke",9786958870896,2,2,active
4835,"The Bean Trees","Barbara king Solver",9782660366986,2,2,active
4836,"The bedford Reader","X.J Kennedy",9782764482940,1,1,active
4837,"The Beginner's Book of Pottery","Harold Powell",9785007961653,1,1,active
4838,"The Best American Travel Writing 2002","Frances Mayes",9787778424719,1,1,active
4839,"The Best From Out West","Woodbury Chuck",9784919163698,2,2,active
4840,"The Best of Gourmet",Unknown,9780725925017,6,6,active
4841,"The Bible Story","Maxwell Arthur S.",9789156978074,2,2,active
4842,"The Big Burn","Egan Timothy",9783070081339,1,1,active
4843,"The Big Rose","Joe Ginniss",9789023743262,2,2,active
4844,"The Big Show Inside SPN'S Sports Center","Abermann Keith",9784941801698,1,1,active
4845,"The Birth of An Aphid And Other Natures Stories","Banks Charles S.",9789911294647,2,2,active
4846,"The Blood of Olympus","Riordan Rick",9783118287914,1,1,active
4847,"The Blue Book","Mario A. Garcia",9786595112038,6,6,active
4848,"The Blue Book Of Crime","Dickerson Cooke",9789059666948,1,1,active
4849,"The Blue Book Vol. 1 Prof Courses","Mario A. Garcia",9783943837544,5,5,active
4850,"The Blue Book Volume 1","Mario A. Garcia",9788846377340,5,5,active
4851,"The Blue Book Volume 2","Mario A. Garcia",9788503027724,9,9,active
4852,"The Blue Book Volume 3","Mario A. Garcia",9781793162502,9,9,active
4853,"The Blue Mirage","Mc Namara Joseph D.",9785326799241,2,2,active
4854,"The Bluejackets Manual","Bill Bearden",9788372687791,2,2,active
4855,"The Book of Books","Trevor Dennis",9788894912869,1,1,active
4856,"The Book You Wish Your Parents Had Read","Philippa Perry",9782877478694,7,7,active
4857,"The Bount Report","Blount Terry",9780407629691,1,1,active
4858,"The Bread Baker Bible",Unknown,9785241573186,2,2,active
4859,"The Bridesmaid Handbook","Naylor Sharon",9782040410711,1,1,active
4860,"The Brighton Story","Collins Geraldine",9782943370266,1,1,active
4861,"The Britannia Obses","Woods Brett",9787814963554,2,2,active
4862,"The Burglar in the Rye","Lawrence Block",9781935311010,1,1,active
4863,"The Butter speaks","Macpherson Charles",9785845673138,9,9,active
4864,"The C Programming Language","Henry Knox",9780017493170,7,7,active
4865,"The Call of the wild & white Fang","Jack London",9786073021739,2,2,active
4866,"The Camera","Artemio I. Panganiban",9783397010142,2,2,active
4867,"The Carbohydrate Addicts","Heller Richard F.",9786218922402,1,1,active
4868,"The Carbohydrates Addicts Cookbook","Dr. Richard F. Heller",9786138654964,1,1,active
4869,"The Cardinal of the Kremlin","Tom Clancy",9780251435806,2,2,active
4870,"The Carnivorous Plant Guide for your Exp…","Trionfetti Rosella",9784711800456,10,10,active
4871,"The Cartel 4; Diamonds are Forever","Ashley & Jaquavis",9781531195960,1,1,active
4872,"The Casanova Complex","Peter Trachtenberg",9782769347794,1,1,active
4873,"The Casebook of Forensic Detection","Colin Evans",9786054856251,2,2,active
4874,"The Cat in the Hat Comes Back","Dr. Seuses",9785042246401,2,2,active
4875,"The Cat Who Covered The World","Wren Christopher S.",9789486175419,2,2,active
4876,"The Catalog Book","Judy Shepard",9787711488167,1,1,active
4877,"The Celebrity Pasta Lover's Cookbook",Unknown,9785801975573,1,1,active
4878,"The Challenge of Effective Speaking ..","Verderber Rudolf F.",9788267865044,4,4,active
4879,"The Challenger Customer","Adamson Brent",9784144294266,6,6,active
4880,"The Chameleous Shadow","Walters Minette",9780880501514,2,2,active
4881,"The Childrens Story","Clavell James",9787862684975,1,1,active
4882,"The Childrens Story Bible","Alexander Pat",9784241698141,1,1,active
4883,"The Christmas Guest","Griffith Andy",9780768170061,1,1,active
4884,"The Church in Prophetic Perspective","John Macarthur Jr.",9784365972394,1,1,active
4885,"The Clinic","Kellerman Jonathan",9786610541713,2,2,active
4886,"The Close","Breyer Chloe",9780076017515,2,2,active
4887,"The Cloud of Unknowing","Thomas H. Cook",9780778428459,1,1,active
4888,"The Clue of the Hissing Serpent","Dixon Franklin",9787618677060,2,2,active
4889,"The Colico trail","Echhardt Kristian",9787219228340,2,2,active
4890,"The College Press NIV Commentary Acts","Dennis Gaertner",9781430921523,8,8,active
4891,"The Collins Who's Who of English First-Class…","Brooke Robert",9782597833674,2,2,active
4892,"The Colonel of Chicago","Gies Joseph",9780891205999,2,2,active
4893,"The Columbia Viking Desk Encyclopedia","William Bridgwater",9784769880127,2,2,active
4894,"The Combat Shotgun & Submachine Gun","Chuck Taylor",9782562083615,9,9,active
4895,"The Comedy Annual 2012","Pached Jam",9788802570167,1,1,active
4896,"The Coming Revolution","Lee Richard G.",9780637035590,1,1,active
4897,"The Compleat Merrage","Nancy Van Pelt",9789151676166,2,2,active
4898,"The Complete Book of Shaitsu Therapy","Namikoshi Toru",9782965863609,2,2,active
4899,"The Complete Books of Running","James F. Fixx",9785368732091,1,1,active
4900,"The Complete Gallouping Gournet","Grosset S. Dunlap",9782545080693,1,1,active
4901,"The Complete Grammar","Strumpf Michael",9780978738716,6,6,active
4902,"The Complete Guide to Successful Events Planning","Kilkenny Shannon",9788341000668,10,10,active
4903,"The Complete Reference PC Hardware","Craig Zacker",9788484393009,6,6,active
4904,"The Complete Tales & Poem of Edgar All Poe","Edgar Allan Poe",9786035608978,2,2,active
4905,"The Complete Works of William Shakespear","Sharespear William",9786493759045,1,1,active
4906,"The Complete Works of William Shakespeare","William Shakespeare",9787905830475,2,2,active
4907,"The Comprehensie Dangerouse Drugs Act 2002",Unknown,9782789027645,4,4,active
4908,"The Comprehensive Dangarous Drugs Act of 2002","Miller F. Peckley",9781300501985,6,6,active
4909,"The Comprehensive Dangerous Drugs Act of 2002","Miller F. Peckley",9787547388082,6,6,active
4910,"The Conflict","Badinler Elisabeth",9782740628287,2,2,active
4911,"The Conjugal Dictationship of Ferdinand &…","Primitivo Mijares",9780725532055,2,2,active
4912,"The Conran Octopos Decortating","Anoor Parikh",9788515501359,1,1,active
4913,"The Constitution of the Republic of the Phils.","Efren V. Ramirez",9784711788754,5,5,active
4914,"The Contemporary World","Aldama Prince",9785139184180,4,4,active
4915,"The Contemporary World","Gutierrez-Ang Jaime",9785141200748,4,4,active
4916,"The Contemporary World","Joliver Lobo",9780451569936,9,9,active
4917,"The Contemporary World","Nephtaly Joel B. Botor",9782769268990,5,5,active
4918,"The Contemporary World","Lisandro Claudio",9787387930922,6,6,active
4919,"The Contemporary World","Janet A. Mananay",9785239060568,9,9,active
4920,"The Contemporary World","Joseph M. Cristobal",9786071241375,5,5,active
4921,"The Contemporary World: Looking Through the Lenses of Globalization","Carmelo Rico Bihasa",9789491258190,5,5,active
4922,"The Cook in Cajun",Unknown,9786694364369,1,1,active
4923,"The Cook's Compedium","Davis Jenni",9783145945689,6,6,active
4924,"The Cookbook Collector","Goodman Allegra",9785089514631,1,1,active
4925,"The Cookery Year",Pomeroy,9781879897632,10,10,active
4926,"The Cool War","Pohl Frederik",9780230423336,1,1,active
4927,"The Copper Beech","Binchy Maeve",9781960250926,1,1,active
4928,"The Cornell School oh Hotel Aministration on Hospotality",Unknown,9780400438665,7,7,active
4929,"The Corporation Code","Jose Campos Jr.",9788470726026,7,7,active
4930,"The Corporation Code of the Philippines","Hector S. De Leon",9785789663684,7,7,active
4931,"The Cottage Garneners Companion",Unknown,9785373808828,1,1,active
4932,"The Courage Consort","Michael Faber",9783097019988,1,1,active
4933,"The Crazy Horse Electric Game","Chris Crutcher",9784770751867,1,1,active
4934,"The Creative Home Making Guide to…","Paxton Rachel",9781098636784,1,1,active
4935,"The Creative Home Making Guide….","Paxton Rachel",9788168960060,1,1,active
4936,"The Crime Problem","Walter C. Ruckless",9786881279049,10,10,active
4937,"The Croosley baby","Jacqueline Carey",9785284658062,1,1,active
4938,"The Cross-Country Quilters","Jennifer Chiaverini",9787922419974,1,1,active
4939,"The Crowd Pleasers","Rosemary Rogers",9780310808343,2,2,active
4940,"The Curious Bartender","Tristan Stephenson",9780985448783,8,8,active
4941,"The Customer Rules","Cockerell Lee",9784833465861,1,1,active
4942,"The Cutters Tale","Price John",9782602131801,2,2,active
4943,"the Da Vinci Code","Dan Brown",9786640599746,2,2,active
4944,"The David Beckham Academy",Unknown,9780878037827,1,1,active
4945,"The Death Outrage","William J. Bennett",9783712688704,2,2,active
4946,"The Deep Zone","James M. Tabor",9781557813732,2,2,active
4947,"The Development of the American Economy","August C. Bolino",9781421756240,9,9,active
4948,"The Devil can Ride","Klancher Lee",9789944331784,2,2,active
4949,"The Devils Alternative","Frederick Forsyth",9787305976629,1,1,active
4950,"The Diamond in the Bronx","Neil J. Sullivian",9788407846407,1,1,active
4951,"The dictionary of Whole Some Food","Embree De Persiis Vona",9785774662197,1,1,active
4952,"The Digital Economy","Tapscott Don",9787856525543,8,8,active
4953,"The Digital Information Age","Kuc Roman",9784586672929,5,5,active
4954,"The Directory of Home Banking & Online…",Unknown,9789072267948,8,8,active
4955,"The Dive From Clausens Pier","Ann Packer",9786015413820,1,1,active
4956,"The Earth from the Air 365 New Days","Thames & Hudson",9783868833928,7,7,active
4957,"The Education of A Coach","Halbertstam David",9788986225464,1,1,active
4958,"The Education of Lieutenant Kerry","Vistica Gregory L.",9782966103568,2,2,active
4959,"The education of Tom Perkins Valley Boy","Perkins Tom",9787480843716,2,2,active
4960,"The Electoral College","Suzanne Levert",9789262735066,2,2,active
4961,"The Electronic Commerce Act","Jesus Disini Jr.",9780126646092,4,4,active
4962,"The Elvenbane","Andre Norton",9781490910093,2,2,active
4963,"The Emperor and the Pope","E.E. Y. Hales",9786659545437,1,1,active
4964,"The Encyclopedia of Cult Childrens TV","Lewis Richard",9780178462749,1,1,active
4965,"The End of the Peir","Martha Grimes",9780522589870,1,1,active
4966,"The English Linguistics Project","Malicsi Jonathan",9780732166564,1,1,active
4967,"The Enlighted Kitchen",Unknown,9780708611715,1,1,active
4968,"The Entrepreneur","Saidali Margarita R.",9784025006421,5,5,active
4969,"The Epics","Damiana L. Eugenio",9787643494656,5,5,active
4970,"The Equation","Isaacson Don",9786505347741,1,1,active
4971,"The Error World","Garfield Simon",9781602859531,1,1,active
4972,"The Errror World","Garfield Simon",9785598759202,2,2,active
4973,"The Essence of Provence","Magnan Pierre",9781552823019,2,2,active
4974,"The Essential Guide to Baking",Unknown,9784303297749,2,2,active
4975,"The Essential Seafood Cookbook",Unknown,9784332945789,2,2,active
4976,"The Essential Threatre","Brokett Oscar",9787404772467,7,7,active
4977,"The Essentials of Polygraphy","Adra Marry Jane Q.",9784972834191,9,9,active
4978,"The Essentials of Polygraphy & Lie Detection","Soriano Ma. Corazon B.",9780671009977,10,10,active
4979,"The Essentials Of Writing","Imme Roma-Mirasol",9784429829930,8,8,active
4980,"The Ethical Foundations of Criminal Justice","Richard A. Spurgeon Hall",9786421282652,4,4,active
4981,"The Event Marketing Handbook","Saget Allison",9785970248911,8,8,active
4982,"The Exeptional student in the regular Classroom","Gearheart / Weishahn",9785579991584,4,4,active
4983,"The Eyes of the Dragon","Stephen King",9783456512341,2,2,active
4984,"The Fact","Drs. Sampson Davis",9784407080636,1,1,active
4985,"The Family Orchard","Eve Nomi",9783959435789,1,1,active
4986,"The Family Practice Desk Reference","Charles E. Driscoll",9785907312821,2,2,active
4987,"The Fashion Conspiracy","Coleridge Nicholas",9781126421818,1,1,active
4988,"The Fat Resistance Diet","Galland Leo",9784478893777,2,2,active
4989,"The Filipino Heroes","Maria Odulio De Guzman",9787050709503,4,4,active
4990,"The Finacial Planning Workbook","Larry Burkelt",9786263276246,9,9,active
4991,"The Final Verdict","Antonio Vn. Figueroa",9782657207988,1,1,active
4992,"The First Eagle","Hillerman Tony",9784707893790,1,1,active
4993,"The First Forty Years","Jacklm Tomy",9787523999639,2,2,active
4994,"The First Salute","Barbara W. Tuchman",9789184544197,2,2,active
4995,"The First Stampede of Flores Ladue","Bryden Wendy",9788579282621,1,1,active
4996,"The First Time Manager","Belker Loren B.",9789016515999,9,9,active
4997,"The Fisher King","Marshall Paule",9782747871556,2,2,active
4998,"The Five People you Meet in Heaven","Mitch Albom",9783317931342,1,1,active
4999,"The Flying Man","Roopa Farooki",9785619617658,2,2,active
5000,"The Focus of Special Crime Investigation","Mario Baesa Garcia",9780210002780,9,9,active
5001,"The Forensic Science of C.S 1","Katherine Ramsland",9784995870053,2,2,active
5002,"The Fox in Winter","Branfield John",9782538063191,1,1,active
5003,"The Friends Factor","Alan Loy Mc Ginnis",9785376932872,1,1,active
5004,"The Front Lie Leader","Gorder Chris Van",9789274622682,9,9,active
5005,"The Fundamentals of Legal Writing","Roberto A. Abad",9789753115247,9,9,active
5006,"The Fundamentals of Taxation","Hector S. De Leon",9783872075796,10,10,active
5007,"The Further Exploits ot Mr. Saucy Squirrel","Wyatt Wooddrow",9781444941999,5,5,active
5008,"The Futurist","James P. Othimer",9784596243843,2,2,active
5009,"The Galton Case","Ross Macdonald",9789277157365,1,1,active
5010,"The Game of Spairistike or Lawn Tennis","Wingfield Walter",9780705182515,2,2,active
5011,"The Garden Book",Unknown,9780318672076,1,1,active
5012,"The Gene Smart Diet","Chilton Floyd H.",9789144566191,2,2,active
5013,"The Giant's Tooth","Gillian Rubinstein",9786760150438,2,2,active
5014,"The Girl who kicked the hornet's nets","Stieg Larsson",9780102655766,2,2,active
5015,"The Girls From Ames","Zaslow Jeffrey",9787566573292,2,2,active
5016,"The Glister","Burnside John",9787410506858,2,2,active
5017,"The Goddess Myth in Contemporary Literature and Popular Culture","Mary J. Magoulick",9780233094625,8,8,active
5018,"The Golden Goose","Mumford Claire",9784706165379,1,1,active
5019,"The Golden Mask","Robyn Donald",9780534289072,1,1,active
5020,"The Good Cook Pork",Olney,9788162930960,9,9,active
5021,"The Good Samaritan Strikes Again","McManus Patrick F.",9785071066162,1,1,active
5022,"The Graduate Students Guide to India..",Unknown,9783670590415,1,1,active
5023,"The Great Depression A Head","Dent Harry S.",9787977963194,1,1,active
5024,"The Great Hope","Nathan Greene",9784670996085,8,8,active
5025,"The Great Physician's Rx for Childrens.","Rubin Jordan",9784961229830,2,2,active
5026,"The Great Physicians Rx for Children's Health","Jordan Rubin",9788788477986,1,1,active
5027,"The Greatest Generation","Brokaw Tom",9784375968684,1,1,active
5028,"The Greatest Gift of All","Penny Richards",9782748230093,2,2,active
5029,"The Greatest is Love","Tyndale House Pub.",9781547595013,2,2,active
5030,"The Greatest Player Who Never Lived","Veron Michael",9783672115678,1,1,active
5031,"The Greek Kitchen",Unknown,9784082824648,1,1,active
5032,"The green kingdom",Unknown,9783716509425,1,1,active
5033,"The Greezer Cookbook","Pritcheet Dwayne",9781596378131,1,1,active
5034,"The Grey Shepherds","Angus Mavigar",9789151813691,1,1,active
5035,"The Grolier International Dictionary",Unknown,9780047904646,10,10,active
5036,"The Guinness Book of Soccer Fact & Feats","Rollin Jack",9789405815198,2,2,active
5037,"The Handbook of English for Specific Purposes","Paltridge Brian",9783942789110,10,10,active
5038,"The Harriet Lane Handbook","Michael A. Brone",9786890098600,1,1,active
5039,"The Healthy PC : Preventive Care. Home","Guy Hart Davis",9786814416664,9,9,active
5040,"The Hen With The Wooden Leg","Routiaux Claudine",9781772942064,1,1,active
5041,"The Hidden Hand","Richard J. Aldrich",9780805858242,2,2,active
5042,"The holy Bibble",Unknown,9784977957246,1,1,active
5043,"The Honey Well","Mallette Gloria",9780303151869,1,1,active
5044,"The Hornet's Nest","Carter Jimmy",9787598962248,1,1,active
5045,"The Horse You Came In On","Grimes Martha",9787641949585,2,2,active
5046,"The Hospitality Industry","Celia A. Carino",9782519901023,5,5,active
5047,"The Host","Stephenie Meyer",9783349227772,2,2,active
5048,"The House of Hades","Riordan Rick",9788594268235,1,1,active
5049,"The Human Age","Ackerman Diane",9785434482134,2,2,active
5050,"The Hunger Games","Suzanne Collins",9781155769417,1,1,active
5051,"The Hunter The Hammer And Heaven","Pelton Robert Young",9781398553231,2,2,active
5052,"The I.C.U Therapeutics Handbook","Paul E. Marik",9785083973175,7,7,active
5053,"The ICe Child","Elizabeth Mc Gregor",9782523243423,2,2,active
5054,"The ICU handbook of Facts, Formulas…","Joseph Varon",9783957965622,1,1,active
5055,"The ICU Therapeutics Handbook","Paul E. Marik",9780733500640,8,8,active
5056,"The Identification of Firearms","Jack Disbrow gunther",9785804829408,2,2,active
5057,"The Iliad Homer","Blakely Ralph",9788286255871,2,2,active
5058,"The Illustrated Encyclopedia for Learning",Unknown,9789370625877,1,1,active
5059,"The Illustrated Encyclopedia of Animal Life","Drimmer Frederick",9786080558228,1,1,active
5060,"The Illustrated Encyclopedia of Animal Life","Goodwin George G.",9782316750114,2,2,active
5061,"The Illustrated History of the Nature World","Oliver Goldsmith",9783270341479,2,2,active
5062,"The Incomparable Law-Enforcer","Ameilta Reysio-Cruz",9785688637137,7,7,active
5063,"The Infiltrators","Philip Entienne",9789987080533,2,2,active
5064,"The Insurance Code of the Phil. Annotated","Rufas B. Rodriguez",9782898122392,8,8,active
5065,"The Inverted Mirror","Michael Nolan",9785753764454,2,2,active
5066,"The Invisible Farmers","Sachs Carrolyn E.",9782562220836,1,1,active
5067,"The Jerky Chef",Unknown,9786442996132,2,2,active
5068,"The Journey to Worlds End",Unknown,9787186069939,1,1,active
5069,"The Joy of Wildlife Gardening-an RSPB","Smith Geoffrey",9789451068388,8,8,active
5070,"The Juvenile Justice ( Concept & Issue )","Gennaro F. Vito",9782921629867,9,9,active
5071,"The Juvenile Justice System","J. Champion",9784278571035,4,4,active
5072,"The Kentucky Cycle","Chenkkan Robert",9783056956255,2,2,active
5073,"The Key to Clarity","Jouie Litawen D.",9780969412359,9,9,active
5074,"The Kindergarten Teachers","Judy Keshner",9788889908884,1,1,active
5075,"The Kiss","Danielle Steel",9780811071499,2,2,active
5076,"The Ladies' Man","Linor Lipman",9783603680855,1,1,active
5077,"The Lamorna wink","Grimes Martha",9784437213264,2,2,active
5078,"The Land Beyond The Mountains","Janice Holt Giles",9787638319186,2,2,active
5079,"The Landing A Night Of Birds","Scoles Katherine",9784384309799,1,1,active
5080,"The Language of Evidence","Norman Biangcong Bustillo",9785684218187,2,2,active
5081,"The Last lecture","Zaslow Jeffrey",9781874729136,1,1,active
5082,"The Last Plantation","Njeri Itabari",9781265974602,1,1,active
5083,"The Law and Negatiable Instruments","Hector S. De Leon",9780231217811,1,1,active
5084,"The Law in Insurance and Sales","Hector S. De Leon",9780423275889,7,7,active
5085,"The Law of Property Annotated","Rufo S. Sucaldito",9781859206300,1,1,active
5086,"The Law on Agency, Sales and Credit…","Renato R. Pasimio",9784165272618,10,10,active
5087,"The Law on income Taxation","Benjamin D. Teodoro",9789109531004,8,8,active
5088,"The Law on Negotiable Instruments","Hector S. De Leon",9781792513626,10,10,active
5089,"The Law on Sales, Agency, Pledge & Mortgages","Carlos B. Suarez",9783801370206,5,5,active
5090,"The Law on Tranfer and Business Taxation","Hector S. De Lion",9789819401468,10,10,active
5091,"The Lawgiver","Wolk Herman",9781360772721,2,2,active
5092,"The Lawyer in Other Concerns","Fritz V. Quinonola",9784509806356,4,4,active
5093,"The Le Cordon Bleu Recipes",Unknown,9783350162628,1,1,active
5094,"The Legacy of the Rose","Kasey Michaels",9781049461731,2,2,active
5095,"The Legal and Regulatory Environment of Business","Robert N. Corley",9785151332095,4,4,active
5096,"The Legal and Regulatory Environment on the Civil","Robert N. Corley",9787309240740,7,7,active
5097,"The Legal Foundation of Public Administrationo","Donald D. Barry",9783596653393,4,4,active
5098,"The Legend of the Curse of the Bambino","Shaughnessy Dan",9783638574334,1,1,active
5099,"The Life & Works of Jose Rizal","Cecilie Sharon Porras",9781958000847,8,8,active
5100,"The Life & Works of Jose Rizal","Enrique Balili",9786267501467,4,4,active
5101,"The Life and Tennis of the Thunderbolt Kid","Bryson Bill",9781465003942,1,1,active
5102,"The Life and Works of Jose Rizal","Cecile Sharon T. Parras",9785584642013,10,10,active
5103,"The Life and Works of Jose Rizal","Remedios A. Sanchez",9781902320168,8,8,active
5104,"The Life and Works of Rizal","Arisla Mariano M.",9781988906096,6,6,active
5105,"The Lifes and Works of Jose Rizal","Remedios A. Sanchez",9787507519266,4,4,active
5106,"The Light Fantastics","Terry Pratchett",9787504616227,2,2,active
5107,"The Light of Evening","Oben Edna",9783965688728,2,2,active
5108,"The Literature of Asia and Africa","Carolina R. Duka",9782048710363,4,4,active
5109,"The Literature of the Philippines","Ferdilyn C. Lacia",9783476414427,2,2,active
5110,"The Literature of the World","Ferdilyn C. Lacia",9781974531455,2,2,active
5111,"The literatures of Asia and Africa","Carolina R. Duka",9785080029066,2,2,active
5112,"The Literatures of the Philippines","Ferdilyn C. Lacia",9789547356429,9,9,active
5113,"The Literatures of The World","Ferdilyn C. Lacia",9787294361093,10,10,active
5114,"The Little Black Books of Geriatrics","Karen Gershman",9789824508145,1,1,active
5115,"The Little Book of Indoor Golf Games","Adrian Winter",9784702360747,2,2,active
5116,"The Little Prince","Antoine De Saint-Exupery",9787060225253,1,1,active
5117,"The Liverpool Basque","Helen Forrester",9783134176223,2,2,active
5118,"The living well","Vicente .Gullas",9789541754016,1,1,active
5119,"The Longest Whale Song","Jacqueline Wilson",9783790584820,2,2,active
5120,"The Lotus Eaters","Gerald Gree",9787393396910,1,1,active
5121,"The Loud Book","Underwood Deborah",9788296561207,1,1,active
5122,"The Macintosh ilife '06","Jim Heid",9784646764786,2,2,active
5123,"The Mainstream of Civilization","Stanley Chodorow",9785625084505,10,10,active
5124,"The Making of Todays World","R.O. Hughes",9781439992579,9,9,active
5125,"The Male Cross-Dresser Support Group","Jana witz Tama",9789928610287,1,1,active
5126,"The Male Factor","Shaunti Feldhahn",9785143825529,2,2,active
5127,"The Mammoth Cheese","Holman Sheri",9783286591813,1,1,active
5128,"The Manager's Path","Fournier Camille",9789805283900,10,10,active
5129,"The Marcos Dynasty","Sterling Seagrave",9783067308302,2,2,active
5130,"The Mariner's Dictionary","Gershon Bradford",9788840167763,5,5,active
5131,"The Mark Of Athena","Riordan Rick",9782191050712,8,8,active
5132,"The Match","Helfgot Susan Whitman",9780957445406,2,2,active
5133,"The Mc. Graw-hill College Handbook","Richard Marirus",9789143876734,2,2,active
5134,"The meaning of the 20th Century","Kenneth E. Boulding",9784315567694,8,8,active
5135,"The Meat Buyer's Guide",Unknown,9789792962635,2,2,active
5136,"The Mercy Seat","Neil Labute",9787324370392,1,1,active
5137,"The Message That Works","T.L. Osborn",9789056651411,1,1,active
5138,"The Mighty Johns","David Baldacci",9784307683296,1,1,active
5139,"The Millenium Bug","Hyatt Michael S.",9786816051917,2,2,active
5140,"The Miracle of Costel Di Sangro","Joe McGinnies",9780242363743,2,2,active
5141,"The Missing Book 3 Sabotage","Haddix Margaret Peterson",9787380131845,1,1,active
